1,"Trust the sign. This really is the cheapest place to get your shoes repaired in town. Mr. Lee does the repairs in house whereas others send it out, take a commission and pass on the extra expense to the customers."
1,Had a great time talking and eating with friends after Red Rock.  Had the BBQ Chicken Wrap with the salad and both were great!  The only reason I didn't give it 5 stars was because my Coors Light came out in a Tall Boy Can. But it was still good.  Sarah was our waitress and did a good job as well.
0,"Today at legacy urgent care I was appalled by the behavior of the front seat lady. She was rude to me and my mother. My mom called to pay my deductible, she slammed the phone down on her and she cursed under her breathe. Her name is Elizabeth. I have never been treated so horribly here, but she has always been a little rude, today just went too far."
1,I was in my cousins wedding that was held here along with the reception and after party. Everything was top notch. \nThe food was good but nothing that i would crave.
1,"Went to hash house again on our way out of town, after telling everyone I was with just how good the place was.  \nwhat was ordered: \n-Hash house quesadilla- Delicious and of course massive just like everything else.  \n-grilled portobello mushroom sandwich- good but lacked flavor...oh ya maybe because it was only a mushroom sandwich LOL but please note the person ordering was a vegetarian.\n-crispy cornmeal salmon sandwich- excellent, tender, flaky, slightly crispy, couldn't have done a salmon sandwich better.  super messy\n-and I think the last thing was some kind of scramble but don't quote me on that.\n\nI also ordered their Famous BLT bloody Mary, it had everything you need to recover from a weekend in Vegas.  Good bloody Mary mix, good vodka, salted rim on the glass, a nice juicy tomato, a piece of lettuce, a crispy bacon strip, pepper, Tabasco, and a piece of toast.  HAH absolutely GENIUS\n\nwent back home super full and satisfied."
1,"Took my sister and daughter here for lunch the other day...we really enjoyed it! My daughter got the homemade chicken noodle soup, it was really delicious. I got the reuben sandwich with fruit and my sister got the gyro sandwich...both were tasty and the fruit was really fresh.  The owner even came over to check on us and he was very gracious. They sell fresh baked bread in the bakery area, so I got a cinnamon swirl loaf to take home which made awesome french toast!  :)"
1,"If I could design the perfect all-around restaurant, this would be it! Casual, but not too much. Wide range of food: from wings, to burgers, steaks, salads, fish tacos, and a ton more. New and clean inside, with an awesome bar area as well as private tables. I also love their outdoor seating, both the front and back sides. I've been coming here for almost ten years now, and still love it. The perfect neighborhood restaurant, whether you want a full steak dinner, or just wings and beer with friends."
1,My husband and I really liked the revolving sushi concept. It was a great way to try different and new sushi for a very reasonable price. We had nine different items and already have several we want to try on our next visit. There's plenty of variety and it's perfect for trying new items.
0,"We went to the Downtown Las Vegas Events Center to see the Sammy Hagar show last month. The venue is in a great spot downtown that allowed for easy access to restaurants and bars which was great. I was a little skeptical about the sound quality and the comfort (crowd) but the place was actually pretty cool with excellent sound quality. There are also a very ample number of restrooms, which is a big problem at a number of other places. Unfortunately, the bad far outweighs the good with regards to the DLVEC.\n\n  We had tickets at will call and once we got to the window it still took about 20 minutes for the staff to find us on their list. I showed them the confirmation email on my phone, but they continued to search their obviously cumbersome and/or antiquated system of finding tickets. I wrote this off as first event bugs that needed to be worked out and we moved on. \n\n  The space is cavernous and while there are no seats in the GA area that's fine by me because who sits down at a good show, right? I will say that I'm glad we didn't pay for VIP seating. Most of the VIP area was significantly further away for the stage than we were in GA. The VIP tickets were about 2  1/2 times what we paid and that is hardly worth it just to have a chair.\n\n  The drink lines were by far the worst I've ever encountered at an event and that includes lines I've been in at NHL and MLB playoff games in packed stadiums. We were in line for over 1 hour and were basically forced to buy multiple drink as opposed to standing in line again. When we reached to front of the line we saw that there was a single bartender and one bar back at each of the two service areas. Given the price of the drinks they could have had 2 or 3 bartenders on each side and still raked in tens of thousands of dollars. I was nearly force to hit the PBR line which was significantly shorter. \n\n  My hope is that the folks that run the Downtown Las Vegas Events Center take a look at some of these reviews and take heed to the advice given. This venue has the potential to be a great place to see a show with a little fine tuning by the management. I'm hoping to be able to do a follow-up in the future that is more positive."
0,"Came here for lunch. Lady taking orders ignored us completely, talking to her friend about her kids. Had to actually interrupt them and ask to put in my order. Calamari was soggy and chewy.... disgusting. It took 40 minutes to get my pizza, had to go ask about its status and it was just sitting there ready to go but no one had delivered it to our table. Good pizza, nasty calamari, horrific service. Don't go during lunch time."
0,"TERRIBLE SERVICE!  A couple of our friends joined my wife and I to attend the Chandler Classic Car Show.  We have frequented Kokopelli Winery many times.  We were seated at the walk through patio area.  The hostess said our waitress would be with us shortly.  After waiting for 20 minutes, I went back to the hostess and told her we had not been waited on.  If they had been SWAMPED, I would understand but the place wasn't even 1/2 full.  She stated some one would be with us shortly.  We waited another 15 minutes and no one waited on us.  We walked out but at the front door on the way out, our \""supposed\"" waitress said she would buy the first round.  We said no thank you.  The hostess didn't even apologize.  I grabbed the business card for the manager ( Candice Oehlerking) and e-mailed her.  Didn't even get a response.  Guess they lost our business for good!!!"
1,I came back into town catching up with some girlfriends and decided to get our pedicures done. We happened to see this new place and it was beyond amazing! They owners was so nice and made our stay enjoyable. We will definitely be coming back soon!
1,"This place has good food!! I have been going here for years and I love that it is open late and located in a good area. I love their fried porkchops, special fried rice, porkchop combo, and of course their pho!! My favorite is their eggrolls! Theyre busy all day but especially late at night."
0,"This review is not about the food but about the hosts. We went in for an early dinner. As we arrived, we are told by the hostess that we cannot be seated inside since the place was booked by a very large group. I asked if there was a comfortable area outside since I was still cold from seating outside in the shade on a very windy day at Blue Martini. \n\nWe're told not to worry since we'd be sheltered from the wind. We get outside and we asked to sit at the only table located in the sun. \n\nAs we are looking at the menu and finally warm up, the hostess comes back to our table and asked us to move to another table in the shade since apparently, the table in the sun is going to be used by the big party. Which by the way, we have yet seen. \n\nWe decided to leave. Very unhappy. \n\nWe ended up going to Nu right downstairs and were seated on the patio right next to a very pretty and warm fire pit."
0,"I remember seeing this place on the Food Network and thought it would be pretty cool to go there. When I actually finally got to try it, I was disappointed. \n\nWhen you first go in, they put you in a scrub and it's mandatory. It was a little annoying because I had layers on because it was like 40 degrees outside and adding the scrub on top of my clothes was going to be restricting when I eat. I didn't even want to take my jacket off because I'd still be freezing. Plus it's a little annoying in general because it's so tedious and all you really wanna do is eat. \n\nLet me remind you that this is a themed restaurant. A medical/ hospital themed where the employees have a nurse uniform and a doctor uniform. And the setting of the place was new and interesting which is why gave it 2 stars. This place is more of an experience than it's food. \n\nNow the food.. The food was bland. Bland. Bland. It was not that great. I've had better burgers than that. The onion rings were the only flavorful thing they had. Though I did like their mango dreamsicle. They are pretty strict with their menu but the way it was setup was cool. You can't have this, you can't have that, we don't have this, we don't have that. Like my aunt asked for hot water because it helps with her stomach and our server was like, \""Nope! We have this water bottle.\"" I don't really know. I felt like our server was kinda rude anyways. I feel like the people work there think there think they're hot shit but I mean whatever I guess. Oh yeah. If you don't finish your food, you get spanked.\n\nOverall experience was okay. Ambiance was the only thing that gave this rating 2 stars. Like I said, food was bland. Workers were kinda annoying. And it's cash only. I felt like they did too much with this concept. It's not as great as it seems to be. I personally wouldn't want to eat here again unless I have people out of town coming here that wants to try it."
0,"DO NOT BOOK ADAM BROOKS AS YOUR WEDDING PHOTOGRAPHER!! We paid him in full because of a \""special\"" he was running. Our wedding is in 13 weeks, and we still have not heard a word from Adam. He has gone MIA with our money and it sounds like a lot of other people's money and pictures as well. Anyone who is filing a claim against him, please let me know. I would be more than happy to join! This guy needs to get caught."
0,"I pull up to the Unique Autowash and pay $21 dollars to get the car washed, towel dried ($2), and vacuumed ($6).   \n\nThe car runs through the autowash--it's nothing to write home about--and at the end, there are three teenagers drying and vacuuming.  Lackluster would be an overstatement.  One kid never took his eyes off his phone and texted the entire time.  The other two did a mediocre job vacuuming and barely dried the car.  There were streaks all over. Pathetic.\n\nI would have given the place two stars, but at that price point, it's verging on a rip-off.  Let me note that in both Chicago and San Diego, I got the same exact service for about $10 and they actually did a good job. \n\nMy car is still dirty.  Any recommendations out there?"
1,"Oh my gosh I love this place!  Totally laid back.  Sarrah, The owner has never met an enemy and if you want to talk, she has the most interesting stories to tell!  Of course she is busy slinging coffee much of the time.  This is truly what a coffee shop should be!  Come to the \""Friends\"" coffee shop in Charlotte.  You will be back that is for sure!"
1,"Thank you, Steve Wynn! Thank you for going vegan so that people like me can have a great meal. \n\nVegan Options - \n\nFlorentine Benedict - English muffin, sauteed spinach, and smokey tofu. The smokey flavor of the tofu makes this dish fabulous. \n\nWynn Double \""Cheese\""burger, Fries, and a Chocolate Shake - Sometimes you just want an indulgent meal without it feeling heavy on the stomach. This was so darn good! \n\nI will keep coming back here every time I go to Vegas!"
0,"Total and complete dump.  Bad food and bad surroundings.  The decent servers and chefs are what make me feel bad about the rating, but I'm all about the food."
1,"Aloha Snow is honestly my new favorite place in Charlotte - it may be a drive from Uptown, but what a welcomed experience. \n\nThe owner is standing behind the counter ready to serve you with not only a smile but a story - she is so full of joy that you will leave happy even if you left empty handed...BUT you won't - you will leave with the best snow cone in Charlotte and a broad smile across your face to wear the whole way home!\n\nI had cake batter and home made ice cream in my stuffed snowball - it was seriously amazing! You have to check this place out - you will want to return again and again!"
0,"I am solely basing this review on the fact that the restaurant advertises themselves as a gastropub..... We drove 30 min off the strip to come here because it had great reviews, and were told we couldn't stay because we had our son with us and the establishment is 21 and over!! If that's the case advertise that on yelp and your website, and don't call yourself a gastropub as authentic gastropubs are kid friendly! My son has a very adventurous appetite and it's very upsetting we wasted our time to try and come here when it is so simple to let it be known NO KIDS ALLOWED!!!!"
